condition,architecture,data_mode,threshold,auc,auc_ci_low,auc_ci_high,sensitivity,specificity,f1
acl,baseline,uncropped,0.5,0.9226,0.8698,0.9621,0.7037,0.9242,0.7835
acl,comparative,uncropped,0.5,0.8148,0.7297,0.8882,0.5741,0.9091,0.6813
meniscus,baseline,uncropped,0.5,0.806,0.7191,0.881,0.8462,0.6324,0.7273
meniscus,comparative,uncropped,0.5,0.7582,0.6641,0.8409,0.7692,0.6618,0.6957
abnormal,baseline,uncropped,0.5,0.8749,0.8028,0.9365,0.9474,0.44,0.9045
abnormal,comparative,uncropped,0.5,0.8135,0.7089,0.903,0.9684,0.24,0.8932
